"config","scale","factor","construct","purity","n_items","label","rule","collision_moved","loo_set_size","candidates","top1_hit","set_hit"
"cross_inst3","DASS","MR3","Anxiety",1,11,"panic attack","tier1",FALSE,1,"panic attack",FALSE,FALSE
"cross_inst4","DASS","MR1","Stress",0.824,17,"irritability","tier1",FALSE,1,"irritability",FALSE,FALSE
"cross_inst4","DASS","MR2","Depression",1,14,"depression","tier1",FALSE,2,"depression pill; depression",TRUE,TRUE
"cross_inst4","DASS","MR3","Anxiety",1,11,"panic attack","tier1",FALSE,1,"panic attack",FALSE,FALSE
"qwen_fp16","DASS","MR1","Stress",0.824,17,"irritability","tier1",FALSE,2,"irritability; irascibility",FALSE,FALSE
"qwen_fp16","DASS","MR2","Depression",1,14,"depression","tier1",FALSE,2,"depressed mood; depression",TRUE,TRUE
"qwen_fp16","DASS","MR3","Anxiety",1,11,"panic disorder","tier1",FALSE,3,"panic anxiety; cardiac phobia; panic disorder",FALSE,FALSE
"qwen_int8","DASS","MR1","Stress",0.824,17,"irritability","tier1",FALSE,2,"irritability; irascibility",FALSE,FALSE
"qwen_int8","DASS","MR2","Depression",1,14,"depression","tier1",FALSE,2,"depressed mood; depression",TRUE,TRUE
"qwen_int8","DASS","MR3","Anxiety",1,11,"panic disorder","tier1",FALSE,3,"panic anxiety; cardiac phobia; panic disorder",FALSE,FALSE
"explore_cross","DASS","MR2","Stress",0.7,20,"irritability","tier1",FALSE,2,"irritability; trait anxiety",FALSE,FALSE
"explore_cross","DASS","MR3","Depression",1,14,"depression","tier1",FALSE,2,"depression pill; depression",TRUE,TRUE
"explore_cross","DASS","MR4","Anxiety",1,8,"anxiety attacks","tier1",FALSE,2,"anxiety baking; anxiety attacks",FALSE,FALSE
"explore_cross","DASS","MR1","Anxiety",0.391,23,"fear of feces","top1",FALSE,2,"fear of feces; social evaluation fear",FALSE,FALSE
"explore_qwen","DASS","MR2","Stress",0.7,20,"irritability","tier1",FALSE,2,"irritability; irascibility",FALSE,FALSE
"explore_qwen","DASS","MR3","Depression",1,14,"depression","tier1",FALSE,2,"depressed mood; depression",TRUE,TRUE
"explore_qwen","DASS","MR4","Anxiety",1,8,"palpitation","tier1",FALSE,5,"cardiac phobia; somatic anxiety; choking phobia; physiological tremor; palpitation",FALSE,FALSE
"explore_qwen","DASS","MR1","Anxiety",0.391,23,"panic anxiety","top1",FALSE,3,"panic anxiety; social evaluation fear; social anxiety disorder",FALSE,FALSE
"cross_fp16","Big5","MR5","Neuroticism",0.667,12,"emotional disorders","tier1",FALSE,2,"emotional intelligence; emotional disorders",FALSE,FALSE
"cross_fp16","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,1,"conscientiousness",TRUE,TRUE
"cross_fp16","Big5","MR2","Extraversion",0.444,9,"social work","tier1",FALSE,2,"social work; cold end",FALSE,FALSE
"cross_fp16","Big5","MR4","Extraversion",0.714,7,"extroversion","tier1",FALSE,3,"social boldness; social confidence; extroversion",TRUE,TRUE
"cross_fp16","Big5","MR3","Openness",1,8,"creativity in art","top1",FALSE,2,"creativity in art; creative impulse",FALSE,FALSE
"cross_int8","Big5","MR5","Neuroticism",0.667,12,"emotional disorders","tier1",FALSE,2,"emotional intelligence; emotional disorders",FALSE,FALSE
"cross_int8","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,1,"conscientiousness",TRUE,TRUE
"cross_int8","Big5","MR2","Extraversion",0.444,9,"social work","tier1",FALSE,2,"social work; cold end",FALSE,FALSE
"cross_int8","Big5","MR4","Extraversion",0.714,7,"extroversion","tier1",FALSE,3,"social boldness; social confidence; extroversion",TRUE,TRUE
"cross_int8","Big5","MR3","Openness",1,8,"creativity in art","top1",FALSE,2,"creativity in art; creative impulse",FALSE,FALSE
"cross_rerun","Big5","MR5","Neuroticism",0.667,12,"emotional disorders","tier1",FALSE,2,"emotional intelligence; emotional disorders",FALSE,FALSE
"cross_rerun","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,1,"conscientiousness",TRUE,TRUE
"cross_rerun","Big5","MR2","Extraversion",0.444,9,"social work","tier1",FALSE,2,"social work; cold end",FALSE,FALSE
"cross_rerun","Big5","MR4","Extraversion",0.714,7,"extroversion","tier1",FALSE,3,"social boldness; social confidence; extroversion",TRUE,TRUE
"cross_rerun","Big5","MR3","Openness",1,8,"creativity in art","top1",FALSE,2,"creativity in art; creative impulse",FALSE,FALSE
"cross_nokeeper","Big5","MR5","Neuroticism",0.667,12,"emotional disorders","tier1",FALSE,2,"emotional intelligence; emotional disorders",FALSE,FALSE
"cross_nokeeper","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,1,"conscientiousness",TRUE,TRUE
"cross_nokeeper","Big5","MR2","Extraversion",0.444,9,"social work","tier1",FALSE,2,"social work; cold end",FALSE,FALSE
"cross_nokeeper","Big5","MR4","Extraversion",0.714,7,"extroversion","tier1",FALSE,3,"social boldness; social confidence; extroversion",TRUE,TRUE
"cross_nokeeper","Big5","MR3","Openness",1,8,"creativity in art","top1",FALSE,2,"creativity in art; creative impulse",FALSE,FALSE
"cross_inst2","Big5","MR5","Neuroticism",0.667,12,"emotional disorders","tier1",FALSE,2,"emotional intelligence; emotional disorders",FALSE,FALSE
"cross_inst2","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,2,"conscientiousness; orderliness",TRUE,TRUE
"cross_inst2","Big5","MR2","Extraversion",0.444,9,"social work","tier1",FALSE,2,"social work; cold end",FALSE,FALSE
"cross_inst2","Big5","MR4","Extraversion",0.714,7,"sociability","tier1",FALSE,3,"social boldness; social confidence; sociability",FALSE,FALSE
"cross_inst2","Big5","MR3","Openness",1,8,"creativity in art","top1",FALSE,2,"creativity in art; creative impulse",FALSE,FALSE
"cross_inst3","Big5","MR5","Neuroticism",0.667,12,"emotional intelligence","top1",FALSE,1,"emotional intelligence",FALSE,FALSE
"cross_inst3","Big5","MR1","Conscientiousness",0.714,14,"orderliness","tier1",FALSE,2,"orderliness; conscientiousness",FALSE,TRUE
"cross_inst3","Big5","MR2","Extraversion",0.444,9,"social work","tier1",FALSE,2,"social work; cold end",FALSE,FALSE
"cross_inst3","Big5","MR4","Extraversion",0.714,7,"sociability","tier1",FALSE,4,"social boldness; social confidence; extroversion; sociability",FALSE,TRUE
"cross_inst3","Big5","MR3","Openness",1,8,"creativity in art","top1",FALSE,2,"creativity in art; creative impulse",FALSE,FALSE
"cross_inst4","Big5","MR5","Neuroticism",0.667,12,"emotional disorders","tier1",FALSE,2,"emotional intelligence; emotional disorders",FALSE,FALSE
"cross_inst4","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,2,"conscientiousness; orderliness",TRUE,TRUE
"cross_inst4","Big5","MR2","Extraversion",0.444,9,"social work","tier1",FALSE,2,"social work; cold end",FALSE,FALSE
"cross_inst4","Big5","MR4","Extraversion",0.714,7,"extroversion","tier1",FALSE,3,"social boldness; social confidence; extroversion",TRUE,TRUE
"cross_inst4","Big5","MR3","Openness",1,8,"creativity in art","top1",FALSE,2,"creativity in art; creative impulse",FALSE,FALSE
"qwen_fp16","Big5","MR5","Neuroticism",0.667,12,"emotional instability","top1",FALSE,1,"emotional instability",TRUE,TRUE
"qwen_fp16","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,2,"structured procrastination; conscientiousness",TRUE,TRUE
"qwen_fp16","Big5","MR2","Extraversion",0.444,9,"reclusiveness","tier1",FALSE,3,"social withdrawal; social anhedonia; reclusiveness",FALSE,FALSE
"qwen_fp16","Big5","MR4","Extraversion",0.714,7,"sociability","tier1",FALSE,1,"sociability",FALSE,FALSE
"qwen_fp16","Big5","MR3","Openness",1,8,"creative thinking","tier1",FALSE,2,"creative imagination; creative thinking",FALSE,FALSE
"qwen_int8","Big5","MR5","Neuroticism",0.667,12,"emotional instability","top1",FALSE,1,"emotional instability",TRUE,TRUE
"qwen_int8","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,2,"structured procrastination; conscientiousness",TRUE,TRUE
"qwen_int8","Big5","MR2","Extraversion",0.444,9,"reclusiveness","tier1",FALSE,3,"social withdrawal; social anhedonia; reclusiveness",FALSE,FALSE
"qwen_int8","Big5","MR4","Extraversion",0.714,7,"sociability","tier1",FALSE,1,"sociability",FALSE,FALSE
"qwen_int8","Big5","MR3","Openness",1,8,"creative thinking","tier1",FALSE,2,"creative imagination; creative thinking",FALSE,FALSE
"explore_cross","Big5","MR2","Neuroticism",0.667,12,"emotional disorders","tier1",FALSE,2,"emotional intelligence; emotional disorders",FALSE,FALSE
"explore_cross","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,1,"conscientiousness",TRUE,TRUE
"explore_cross","Big5","MR4","Extraversion",0.444,9,"social work","tier1",FALSE,2,"social work; cold end",FALSE,FALSE
"explore_cross","Big5","MR3","Extraversion",0.714,7,"extroversion","tier1",FALSE,3,"social boldness; social confidence; extroversion",TRUE,TRUE
"explore_cross","Big5","MR5","Openness",1,8,"creativity in art","top1",FALSE,2,"creativity in art; creative impulse",FALSE,FALSE
"explore_qwen","Big5","MR2","Neuroticism",0.667,12,"emotional instability","top1",FALSE,1,"emotional instability",TRUE,TRUE
"explore_qwen","Big5","MR1","Conscientiousness",0.714,14,"conscientiousness","tier1",FALSE,2,"structured procrastination; conscientiousness",TRUE,TRUE
"explore_qwen","Big5","MR4","Extraversion",0.444,9,"reclusiveness","tier1",FALSE,3,"social withdrawal; social anhedonia; reclusiveness",FALSE,FALSE
"explore_qwen","Big5","MR3","Extraversion",0.714,7,"sociability","tier1",FALSE,1,"sociability",FALSE,FALSE
"explore_qwen","Big5","MR5","Openness",1,8,"creative thinking","tier1",FALSE,2,"creative imagination; creative thinking",FALSE,FALSE
"cross_fp16","431PTQ","MR2","Emotional",0.611,18,"anxiety","tier1",FALSE,6,"anxiety medication; anxiety; trait class; anxiety state; anxiety disorders; mental substance",FALSE,FALSE
"cross_fp16","431PTQ","MR1","Behavioral",0.9,10,"procrastination","tier1",FALSE,1,"procrastination",TRUE,TRUE
"cross_int8","431PTQ","MR2","Emotional",0.611,18,"anxiety","tier1",FALSE,5,"anxiety medication; anxiety; trait class; anxiety disorders; mental substance",FALSE,FALSE
"cross_int8","431PTQ","MR1","Behavioral",0.9,10,"procrastination","tier1",FALSE,1,"procrastination",TRUE,TRUE
"cross_rerun","431PTQ","MR2","Emotional",0.611,18,"anxiety","tier1",FALSE,6,"anxiety medication; anxiety; trait class; anxiety state; anxiety disorders; mental substance",FALSE,FALSE
"cross_rerun","431PTQ","MR1","Behavioral",0.9,10,"procrastination","tier1",FALSE,1,"procrastination",TRUE,TRUE
"cross_nokeeper","431PTQ","MR2","Emotional",0.611,18,"anxiety","tier1",FALSE,6,"anxiety medication; anxiety; trait class; anxiety state; anxiety disorders; mental substance",FALSE,FALSE
"cross_nokeeper","431PTQ","MR1","Behavioral",0.9,10,"procrastination","tier1",FALSE,1,"procrastination",TRUE,TRUE
"cross_inst2","431PTQ","MR2","Emotional",0.611,18,"anxiety medication","top1",FALSE,6,"anxiety medication; psychological archetype; anxiety state; trait class; anxiety dream; mental substance",FALSE,FALSE
"cross_inst2","431PTQ","MR1","Behavioral",0.9,10,"procrastination","tier1",FALSE,1,"procrastination",TRUE,TRUE
"cross_inst3","431PTQ","MR2","Emotional",0.611,18,"trait class","top1",FALSE,4,"trait class; psychological archetype; anxiety medication; mental substance",FALSE,FALSE
"cross_inst3","431PTQ","MR1","Behavioral",0.9,10,"procrastination","tier1",FALSE,1,"procrastination",TRUE,TRUE
"cross_inst4","431PTQ","MR2","Emotional",0.611,18,"anxiety disorders","tier1",FALSE,7,"anxiety medication; anxiety dream; psychological archetype; trait class; anxiety state; mental substance; anxiety disorders",FALSE,FALSE
"cross_inst4","431PTQ","MR1","Behavioral",0.9,10,"procrastination","tier1",FALSE,2,"procrastination; academic program",TRUE,TRUE
"qwen_fp16","431PTQ","MR2","Emotional",0.611,18,"trait anxiety","top1",FALSE,2,"trait anxiety; status anxiety",FALSE,FALSE
"qwen_fp16","431PTQ","MR1","Behavioral",0.9,10,"procrastination","tier1",FALSE,1,"procrastination",TRUE,TRUE
"qwen_int8","431PTQ","MR2","Emotional",0.611,18,"trait anxiety","top1",FALSE,2,"trait anxiety; status anxiety",FALSE,FALSE
"qwen_int8","431PTQ","MR1","Behavioral",0.9,10,"procrastination","tier1",FALSE,1,"procrastination",TRUE,TRUE
"explore_cross","431PTQ","MR1","Behavioral",0.571,28,"procrastination","tier1",FALSE,1,"procrastination",TRUE,TRUE
"explore_cross","431PTQ","MR2","Behavioral",0.923,13,"academic program","tier1",TRUE,2,"procrastination; academic program",FALSE,TRUE
"explore_qwen","431PTQ","MR1","Behavioral",0.571,28,"procrastination","tier1",FALSE,2,"academic procrastination; procrastination",TRUE,TRUE
"explore_qwen","431PTQ","MR2","Behavioral",0.923,13,"sleep procrastination","top1",TRUE,2,"procrastination; sleep procrastination",FALSE,TRUE
"cross_fp16","MFQ","MR3","Fairness/Reciprocity",0.333,9,"gender role reversal","top1",FALSE,2,"gender role reversal; economic emigration",FALSE,FALSE
"cross_fp16","MFQ","MR4","Ingroup/Loyalty",0.571,7,"disloyalty","tier1",FALSE,2,"tribal mask; disloyalty",TRUE,TRUE
"cross_fp16","MFQ","MR2","Purity/Sanctity",0.833,6,"moral dissonance","top1",FALSE,1,"moral dissonance",FALSE,FALSE
"cross_fp16","MFQ","MR1","Fairness/Reciprocity",0.6,5,"unfairness","tier1",FALSE,3,"perceived discrimination; emotional insecurity; unfairness",TRUE,TRUE
"cross_fp16","MFQ","MR5","Harm/Care",1,3,"compassion","tier1",FALSE,4,"compassionate release; empathic design; compassionate use trial; compassion",TRUE,TRUE
"cross_int8","MFQ","MR3","Fairness/Reciprocity",0.333,9,"gender role reversal","top1",FALSE,2,"gender role reversal; economic emigration",FALSE,FALSE
"cross_int8","MFQ","MR4","Ingroup/Loyalty",0.571,7,"disloyalty","tier1",FALSE,2,"tribal mask; disloyalty",TRUE,TRUE
"cross_int8","MFQ","MR2","Purity/Sanctity",0.833,6,"moral dissonance","top1",FALSE,1,"moral dissonance",FALSE,FALSE
"cross_int8","MFQ","MR1","Fairness/Reciprocity",0.6,5,"perceived discrimination","top1",FALSE,2,"perceived discrimination; emotional insecurity",FALSE,FALSE
"cross_int8","MFQ","MR5","Harm/Care",1,3,"compassion","tier1",FALSE,4,"compassionate release; empathic design; compassionate use trial; compassion",TRUE,TRUE
"cross_rerun","MFQ","MR3","Fairness/Reciprocity",0.333,9,"gender role reversal","top1",FALSE,2,"gender role reversal; economic emigration",FALSE,FALSE
"cross_rerun","MFQ","MR4","Ingroup/Loyalty",0.571,7,"disloyalty","tier1",FALSE,2,"tribal mask; disloyalty",TRUE,TRUE
"cross_rerun","MFQ","MR2","Purity/Sanctity",0.833,6,"moral dissonance","top1",FALSE,1,"moral dissonance",FALSE,FALSE
"cross_rerun","MFQ","MR1","Fairness/Reciprocity",0.6,5,"unfairness","tier1",FALSE,3,"perceived discrimination; emotional insecurity; unfairness",TRUE,TRUE
"cross_rerun","MFQ","MR5","Harm/Care",1,3,"compassion","tier1",FALSE,4,"compassionate release; empathic design; compassionate use trial; compassion",TRUE,TRUE
"cross_nokeeper","MFQ","MR3","Fairness/Reciprocity",0.333,9,"gender role reversal","top1",FALSE,2,"gender role reversal; economic emigration",FALSE,FALSE
"cross_nokeeper","MFQ","MR4","Ingroup/Loyalty",0.571,7,"disloyalty","tier1",FALSE,2,"tribal mask; disloyalty",TRUE,TRUE
"cross_nokeeper","MFQ","MR2","Purity/Sanctity",0.833,6,"moral dissonance","top1",FALSE,1,"moral dissonance",FALSE,FALSE
"cross_nokeeper","MFQ","MR1","Fairness/Reciprocity",0.6,5,"unfairness","tier1",FALSE,3,"perceived discrimination; emotional insecurity; unfairness",TRUE,TRUE
"cross_nokeeper","MFQ","MR5","Harm/Care",1,3,"compassion","tier1",FALSE,4,"compassionate release; empathic design; compassionate use trial; compassion",TRUE,TRUE
"cross_inst2","MFQ","MR3","Fairness/Reciprocity",0.333,9,"gender role reversal","top1",FALSE,4,"gender role reversal; political establishment; ethic whole value; theory of justification",FALSE,FALSE
"cross_inst2","MFQ","MR4","Ingroup/Loyalty",0.571,7,"disloyalty","tier1",FALSE,4,"tribal mask; loyola chicago; appeal to majority; disloyalty",TRUE,TRUE
"cross_inst2","MFQ","MR2","Purity/Sanctity",0.833,6,"moral dissonance","top1",FALSE,2,"moral dissonance; religious television station",FALSE,FALSE
"cross_inst2","MFQ","MR1","Fairness/Reciprocity",0.6,5,"perceived discrimination","top1",FALSE,2,"perceived discrimination; emotional insecurity",FALSE,FALSE
"cross_inst2","MFQ","MR5","Harm/Care",1,3,"compassion","tier1",FALSE,3,"empathic design; compassionate use trial; compassion",TRUE,TRUE
"cross_inst3","MFQ","MR3","Fairness/Reciprocity",0.333,9,"ethic whole value","top1",FALSE,4,"ethic whole value; gender role reversal; theory of justification; social equilibrium",FALSE,FALSE
"cross_inst3","MFQ","MR4","Ingroup/Loyalty",0.571,7,"disloyalty","tier1",FALSE,3,"loyola chicago; tribal mask; disloyalty",TRUE,TRUE
"cross_inst3","MFQ","MR2","Purity/Sanctity",0.833,6,"moral dissonance","top1",FALSE,2,"moral dissonance; sexual disorder",FALSE,FALSE
"cross_inst3","MFQ","MR1","Fairness/Reciprocity",0.6,5,"unfairness","tier1",FALSE,3,"perceived discrimination; emotional insecurity; unfairness",TRUE,TRUE
"cross_inst3","MFQ","MR5","Harm/Care",1,3,"empathy","tier1",FALSE,2,"empathic design; empathy",FALSE,FALSE
"cross_inst4","MFQ","MR3","Fairness/Reciprocity",0.333,9,"gender role reversal","top1",FALSE,3,"gender role reversal; gender empowerment; economic emigration",FALSE,FALSE
"cross_inst4","MFQ","MR4","Ingroup/Loyalty",0.571,7,"disloyalty","tier1",FALSE,3,"tribal mask; loyola chicago; disloyalty",TRUE,TRUE
"cross_inst4","MFQ","MR2","Purity/Sanctity",0.833,6,"moral dissonance","top1",FALSE,2,"moral dissonance; religious television station",FALSE,FALSE
"cross_inst4","MFQ","MR1","Fairness/Reciprocity",0.6,5,"perceived discrimination","top1",FALSE,2,"perceived discrimination; victimless crime",FALSE,FALSE
"cross_inst4","MFQ","MR5","Harm/Care",1,3,"empathy","tier1",FALSE,3,"empathic design; compassionate use trial; empathy",FALSE,FALSE
"qwen_fp16","MFQ","MR3","Fairness/Reciprocity",0.333,9,"justice as fairness","top1",FALSE,2,"justice as fairness; social egalitarianism",FALSE,FALSE
"qwen_fp16","MFQ","MR4","Ingroup/Loyalty",0.571,7,"disloyalty","tier1",FALSE,3,"loyalty test; disloyalty; tribal loyalty",TRUE,TRUE
"qwen_fp16","MFQ","MR2","Purity/Sanctity",0.833,6,"squeamishness","tier1",FALSE,3,"sexual disgust; moral disgust; squeamishness",FALSE,TRUE
"qwen_fp16","MFQ","MR1","Fairness/Reciprocity",0.6,5,"exposure to discrimination","top1",FALSE,2,"exposure to discrimination; symptoms of victimization",FALSE,FALSE
"qwen_fp16","MFQ","MR5","Harm/Care",1,3,"compassion","tier1",FALSE,3,"compassion in spirituality; empathic concern; compassion",TRUE,TRUE
"qwen_int8","MFQ","MR3","Fairness/Reciprocity",0.333,9,"justice as fairness","top1",FALSE,2,"justice as fairness; social egalitarianism",FALSE,FALSE
"qwen_int8","MFQ","MR4","Ingroup/Loyalty",0.571,7,"disloyalty","tier1",FALSE,3,"loyalty test; disloyalty; tribal loyalty",TRUE,TRUE
"qwen_int8","MFQ","MR2","Purity/Sanctity",0.833,6,"squeamishness","tier1",FALSE,3,"sexual disgust; moral disgust; squeamishness",FALSE,TRUE
"qwen_int8","MFQ","MR1","Fairness/Reciprocity",0.6,5,"exposure to discrimination","top1",FALSE,2,"exposure to discrimination; symptoms of victimization",FALSE,FALSE
"qwen_int8","MFQ","MR5","Harm/Care",1,3,"compassion","tier1",FALSE,3,"compassion in spirituality; empathic concern; compassion",TRUE,TRUE
"explore_cross","MFQ","MR1","Authority/Respect",0.2,15,"betrayal","tier1",FALSE,4,"betrothed numbers; perpetrator walk; betrayal; relationship violence",FALSE,FALSE
"explore_cross","MFQ","MR2","Authority/Respect",0.214,14,"value contribution","top1",FALSE,5,"value contribution; social venture; ethic whole value; gender role reversal; gender empowerment",FALSE,FALSE
"explore_cross","MFQ","MR3","Purity/Sanctity",1,1,"domains of life","top1",FALSE,1,"domains of life",FALSE,FALSE
"explore_qwen","MFQ","MR1","Authority/Respect",0.2,15,"antisocial personality trait","top1",FALSE,3,"antisocial personality trait; trauma symptom inventory; victimization symptoms",FALSE,FALSE
"explore_qwen","MFQ","MR2","Authority/Respect",0.214,14,"justice as fairness","top1",FALSE,3,"justice as fairness; virtue of justice; psychology of morality",FALSE,FALSE
"explore_qwen","MFQ","MR3","Purity/Sanctity",1,1,"moral disgust","top1",FALSE,1,"moral disgust",TRUE,TRUE
"cross_fp16","BAI","MR1","Anxiety",1,21,"anxiety","tier1",FALSE,4,"anxiety state; trait class; anxiety; fear of feces",TRUE,TRUE
"cross_int8","BAI","MR1","Anxiety",1,21,"anxiety","tier1",FALSE,4,"anxiety state; trait class; anxiety; fear of feces",TRUE,TRUE
"cross_rerun","BAI","MR1","Anxiety",1,21,"anxiety","tier1",FALSE,4,"anxiety state; trait class; anxiety; fear of feces",TRUE,TRUE
"cross_nokeeper","BAI","MR1","Anxiety",1,21,"anxiety","tier1",FALSE,4,"anxiety state; trait class; anxiety; fear of feces",TRUE,TRUE
"cross_inst2","BAI","MR1","Anxiety",1,21,"anxiety state","top1",FALSE,4,"anxiety state; trait class; fear of feces; anxiety",FALSE,TRUE
"cross_inst3","BAI","MR1","Anxiety",1,21,"trait class","top1",FALSE,3,"trait class; anxiety state; fear of feces",FALSE,FALSE
"cross_inst4","BAI","MR1","Anxiety",1,21,"anxiety","tier1",FALSE,4,"anxiety state; trait class; fear of feces; anxiety",TRUE,TRUE
"qwen_fp16","BAI","MR1","Anxiety",1,21,"trait anxiety","top1",FALSE,2,"trait anxiety; anxiety sensitivity",FALSE,FALSE
"qwen_int8","BAI","MR1","Anxiety",1,21,"trait anxiety","top1",FALSE,2,"trait anxiety; anxiety sensitivity",FALSE,FALSE
"explore_cross","BAI","MR2","Anxiety",1,11,"fear","tier1",FALSE,2,"fear; fear of falling",FALSE,FALSE
"explore_cross","BAI","MR1","Anxiety",1,10,"psychosomatic disorders","tier1",FALSE,2,"somatic theory; psychosomatic disorders",FALSE,FALSE
"explore_qwen","BAI","MR2","Anxiety",1,11,"fearfulness","tier1",FALSE,4,"fearfulness; fear of fear; death anxiety; apprehension test",FALSE,FALSE
"explore_qwen","BAI","MR1","Anxiety",1,10,"pressure sensation","tier1",FALSE,3,"physical sensation; choking sensation; pressure sensation",FALSE,FALSE
"cross_fp16","TMA","MR1","Anxiety",1,50,"neuroticism","tier1",FALSE,3,"neuroticism trait; anxiety state; neuroticism",FALSE,FALSE
"cross_int8","TMA","MR1","Anxiety",1,50,"neuroticism","tier1",FALSE,3,"neuroticism trait; anxiety state; neuroticism",FALSE,FALSE
"cross_rerun","TMA","MR1","Anxiety",1,50,"neuroticism","tier1",FALSE,3,"neuroticism trait; anxiety state; neuroticism",FALSE,FALSE
"cross_nokeeper","TMA","MR1","Anxiety",1,50,"neuroticism","tier1",FALSE,3,"neuroticism trait; anxiety state; neuroticism",FALSE,FALSE
"cross_inst2","TMA","MR1","Anxiety",1,50,"anxiety","tier1",FALSE,4,"anxiety state; trait class; neuroticism trait; anxiety",TRUE,TRUE
"cross_inst3","TMA","MR1","Anxiety",1,50,"trait class","top1",FALSE,2,"trait class; neuroticism trait",FALSE,FALSE
"cross_inst4","TMA","MR1","Anxiety",1,50,"anxiety state","top1",FALSE,3,"anxiety state; trait class; neuroticism trait",FALSE,FALSE
"qwen_fp16","TMA","MR1","Anxiety",1,50,"neuroticism trait","top1",FALSE,3,"neuroticism trait; psychological construct; trait anxiety",FALSE,FALSE
"qwen_int8","TMA","MR1","Anxiety",1,50,"neuroticism trait","top1",FALSE,3,"neuroticism trait; psychological construct; trait anxiety",FALSE,FALSE
"explore_cross","TMA","MR3","Anxiety",1,19,"anxiety","tier1",FALSE,3,"anxiety; anxiety disorders; anxiety reaction",TRUE,TRUE
"explore_cross","TMA","MR2","Anxiety",1,12,"physical contact","tier1",FALSE,2,"physical work; physical contact",FALSE,FALSE
"explore_cross","TMA","MR4","Anxiety",1,8,"self-worth","tier1",FALSE,3,"self-worth; low side; hopelessness",FALSE,FALSE
"explore_cross","TMA","MR1","Anxiety",1,7,"shyness","tier1",FALSE,2,"fear of books; shyness",FALSE,FALSE
"explore_cross","TMA","MR5","Anxiety",1,4,"gastrointestinal conditions","top1",FALSE,2,"gastrointestinal conditions; gastrointestinal effect",FALSE,FALSE
"explore_qwen","TMA","MR3","Anxiety",1,19,"anxiety disorder","tier1",FALSE,3,"sleep anxiety; anxiety dreams; anxiety disorder",FALSE,FALSE
"explore_qwen","TMA","MR2","Anxiety",1,12,"calmness","tier1",FALSE,3,"emotional stability; calmness; social confidence",FALSE,FALSE
"explore_qwen","TMA","MR4","Anxiety",1,8,"despondency","tier1",FALSE,3,"low self-esteem; learned hopelessness; despondency",FALSE,FALSE
"explore_qwen","TMA","MR1","Anxiety",1,7,"embarrassment","tier1",FALSE,3,"fear of blushing; empathic embarrassment; embarrassment",FALSE,FALSE
